badword,type,replacement_word,replacement_word_type
0ralseks,noun,,
oralsex,noun,intimacy,literal
0rgasms,noun,,
0rgsm,noun,,
3jakulating,verb,,
4r5e,noun,,
4r5ed,verb,,
4r5es,noun,,
4skin,noun,,
55,noun,,
5h17,noun,,
5h1t,noun,,
5kank,noun,,
69,noun,,
abbie,noun,,
abeed,verb,,
aboe,noun,,
anal,noun,,
analhole,noun,,
analhore,noun,,
analingus,noun,,
analpirate,verb,,
analplug,noun,,
analplugs,noun,,
anilingus,noun,,
animalfucker,verb,,
anus,noun,,
anusplug,noun,,
apeshit,noun,,
apeshite,noun,,
ar5e,noun,,
ar5ehole,noun,,
arse,noun,,
arsebandit,noun,,
arsebandits,noun,,
arsefuck,noun,,
arsefucker,verb,,
arsefuckers,noun,,
arsegobbler,verb,,
arsehole,noun,,
arseshagger,verb,,
arseshit,noun,,
arsewipe,noun,,
ashole,noun,,
ass,noun,backside,literal
assbandit,noun,,
asseatingboiolas,noun,,
asseatingnobjokeys,noun,,
asses,noun,,
assface,noun,,
assfck,noun,,
assfcker,verb,,
assfecker,verb,,
assfk,noun,,
assfkcer,verb,,
assfker,verb,,
assfkr,noun,,
assfook,noun,,
assfuccer,verb,,
assfuck,noun,,
assfuck3r,noun,,
assfucker,verb,,
assfuckers,noun,,
assfuckerz,noun,,
assfuckingboiolas,noun,,
assfuckingnobjokeys,noun,,
assfukah,noun,,
assfukka,noun,,
assfukker,verb,,
assfukkerz,noun,,
assfvck3r,noun,,
assfvcker,verb,,
asshat,noun,,
asshol3,noun,,
asshole,noun,,
assholefucker,verb,,
assholes,noun,,
asskisser,verb,,
asslicking,verb,,
assmunch,noun,,
assmuncher,verb,,
asswhole,noun,,
asswipe,noun,,
axewound,noun,,
azz,noun,,
azzhole,noun,,
b00bz,noun,,
b0llock,noun,,
b0llocks,noun,,
b17ch,noun,,
b1ch,noun,,
b1otch,noun,,
b1otchs,noun,,
b1tch,noun,,
b1tch1ng,noun,,
b1tch35,noun,,
b1tch3s,noun,,
b1tchees,noun,,
b1tches,noun,,
b1tchez,noun,,
b1tchin,noun,,
b1tching,verb,,
b1tchs,noun,,
b1tchy,noun,,
babybatter,verb,,
ballbag,noun,,
bangbros,noun,,
bassturd,noun,,
bastard,noun,jerk,literal
bastardish,noun,,
bastards,noun,,
basterd,noun,,
bastid,noun,,
bastinado,noun,,
basturd,noun,,
bater,verb,,
bates,noun,,
batshit,noun,,
batshite,noun,,
bbc,noun,,
beaner,verb,,
beaners,noun,,
beanqueen,noun,,
beatmymeat,noun,,
beatoff,noun,,
beatthemeat,noun,,
beatyourmeat,noun,,
beeotch,noun,,
bellend,noun,,
bender,verb,,
bewbs,noun,,
beyoch,noun,,
beyotch,noun,,
biatch,noun,,
bich,noun,,
biches,noun,,
biotch,noun,,
biotches,noun,,
biotchez,noun,,
bishes,noun,,
bitch,noun,mean person,literal
bitch3s,noun,,
bitchass,noun,,
bitchasses,noun,,
bitched,verb,,
bitcher,verb,,
bitchers,noun,,
bitches,noun,,
bitchez,noun,,
bitchfuck,noun,,
bitchhole,noun,,
bitchin,noun,,
bitching,verb,,
bitchlike,noun,,
bitchness,noun,,
bitchs,noun,,
bitchslap,noun,,
bitchtits,noun,,
bitchy,noun,,
bitchyass,noun,,
bizzach,noun,,
bj,noun,,
blacky,noun,,
blowaload,noun,,
blowjob,noun,,
blumpkinboy,noun,,
boll0ck,noun,,
bollock,noun,,
bollockchops,noun,,
bollocks,noun,,
bollocktician,noun,,
bollox,noun,,
bondage,noun,,
boner,verb,,
bonkjuice,noun,,
boobs,noun,,
booty,noun,,
breasticles,noun,,
breasts,noun,,
btch,noun,,
btotheinch,noun,,
bugger,verb,,
buggeroff,noun,,
bullshi,noun,,
bullshit,noun,nonsense,literal
bullshite,noun,,
bumbandits,noun,,
bumdriller,verb,,
bumhole,noun,,
bunghole,noun,,
buttermilk,noun,,
buttfuck,noun,,
buttfucker,verb,,
buttfuckers,noun,,
buttfuckingbandit,noun,,
butthole,noun,,
buttholeboy,noun,,
buttmunchers,noun,,
buttpirate,verb,,
bwc,noun,,
c00n,noun,,
c00nies,noun,,
c0ck,noun,,
c0ckhead,noun,,
c0cks,noun,,
c0cksuccer,verb,,
c0cksucked,verb,,
c0cksucker,verb,,
c0cksuckers,noun,,
c0x,noun,,
c0xux0r,noun,,
caaak,noun,,
caca,noun,,
cack,noun,,
cagone,noun,,
cajones,noun,,
cameljockey,noun,,
cameltoe,noun,,
carpetmuncher,verb,,
carpetmunchers,noun,,
carpetmunching,verb,,
cawk,noun,,
cawkmuncher,verb,,
cawks,noun,,
cawksucker,verb,,
ch1nk,noun,,
chesticles,noun,,
chinavirus,noun,,
chinesevirus,noun,,
chingchong,noun,,
chink,noun,person,neutral
chinky,noun,,
choadnectar,noun,,
chocha,noun,,
chokethechicken,noun,,
cholo,noun,,
clitlickers,noun,,
closetfuckhead,noun,,
clusterfuck,noun,,
clusterfucked,verb,,
clusterfucker,verb,,
clusterfucking,verb,,
clusterfucks,noun,,
cnt,noun,,
cntface,noun,,
cnts,noun,,
cnty,noun,,
cobbknobbler,verb,,
cock,noun,,
cockboy,noun,,
cockdroplets,noun,,
cockeater,verb,,
cockface,noun,,
cockgobbler,verb,,
cockh3ad,noun,,
cockhead,noun,,
cockheads,noun,,
cockhed,verb,,
cockjockey,noun,,
cockknocker,verb,,
cockless,noun,,
cocklicker,verb,,
cockmonger,verb,,
cockmunch,noun,,
cockmuncher,verb,,
cockrider,verb,,
cocks,noun,,
cockshit,noun,,
cockskin,noun,,
cocksmoker,verb,,
cocksnot,noun,,
cocksucc,noun,,
cocksuccas,noun,,
cocksuccer,verb,,
cocksuccers,noun,,
cocksuck,noun,,
cocksuckas,noun,,
cocksucked,verb,,
cocksucker,verb,,
cocksuckers,noun,,
cocksucking,verb,,
cocksuckingboiolas,noun,,
cocksuckingmothafuckers,noun,,
cocksuckingnobjokeys,noun,,
cocksucks,noun,,
cocksuk,noun,,
cocksuka,noun,,
cocksukka,noun,,
cocktease,noun,,
cocsuck,noun,,
cokmuncher,verb,,
coksucka,noun,,
coolie,noun,,
coon,noun,,
coon1es,noun,,
cooni3s,noun,,
coonie,noun,,
coonies,noun,,
coons,noun,,
coot,noun,,
cootcoot,noun,,
cooter,verb,,
cooterpuffing,verb,,
cootershooting,verb,,
cooties,noun,,
cottonpicker,verb,,
crazymofos,noun,,
crazysob,noun,,
creampie,noun,,
crotch,noun,,
crotchfiddler,verb,,
crotchy,noun,,
crow,noun,,
crows,noun,,
cuksuker,verb,,
cuksukka,noun,,
cumball,noun,,
cumdumpster,verb,,
cumgoon,noun,,
cumming,verb,,
cums,noun,,
cumslut,noun,,
cumz,noun,,
cunnilingus,noun,,
cunt,noun,rude person,contextual
cuntasaurusrex,noun,,
cuntass,noun,,
cuntbag,noun,,
cuntbollock,noun,,
cuntelope,noun,,
cuntfart,noun,,
cuntits,noun,,
cuntless,noun,,
cuntlick,noun,,
cuntlicker,verb,,
cuntlickers,noun,,
cuntlips,noun,,
cuntness,noun,,
cunts,noun,,
cunty,noun,,
cuntz,noun,,
cuunt,noun,,
cyberfck,noun,,
cyberfcks,noun,,
cyberfuccs,noun,,
cyberfucks,noun,,
cyberfucs,noun,,
cyberfukk,noun,,
cyberfukks,noun,,
cyberfvcks,noun,,
d0ggystyle,noun,,
d1ck,noun,,
d1ckhead,noun,,
d1ckheads,noun,,
