badword,replacement_word,type
0ralseks,,noun
0ralsex,,noun
0rgasms,,noun
0rgsm,,noun
3jakulating,,noun
4r5e,,noun
4r5ed,,noun
4r5es,,noun
4skin,,noun
55,lv,noun
5h17,,noun
5h1t,,noun
5kank,,noun
69,ilxx,noun
abbie,,noun
abeed,,noun
aboe,,noun
anal,,noun
analhole,,noun
analhore,,noun
analingus,,noun
analpirate,,noun
analplug,,noun
analplugs,,noun
anilingus,,noun
animalfucker,,noun
anus,,noun
anusplug,,noun
apeshit,,noun
apeshite,,noun
ar5e,,noun
ar5ehole,,noun
arse,buttocks,noun
arsebandit,,noun
arsebandits,,noun
arsefuck,,noun
arsefucker,,noun
arsefuckers,,noun
arsegobbler,,noun
arsehole,arse,noun
arseshagger,,noun
arseshit,,noun
arsewipe,,noun
ashole,,noun
ass,nates,noun
assbandit,,noun
asseatingboiolas,,noun
asseatingnobjokeys,,noun
asses,buttocks,noun
assface,,noun
assfck,,noun
assfcker,,noun
assfecker,,noun
assfk,,noun
assfkcer,,noun
assfker,,noun
assfkr,,noun
assfook,,noun
assfuccer,,noun
assfuck,,noun
assfuck3r,,noun
assfucker,,noun
assfuckers,,noun
assfuckerz,,noun
assfuckingboiolas,,noun
assfuckingnobjokeys,,noun
assfukah,,noun
assfukka,,noun
assfukker,,noun
assfukkerz,,noun
assfvck3r,,noun
assfvcker,,noun
asshat,,noun
asshol3,,noun
asshole,prick,noun
assholefucker,,noun
assholes,prick,noun
asskisser,,noun
asslicking,,noun
assmunch,,noun
assmuncher,,noun
asswhole,,noun
asswipe,,noun
axewound,,noun
azz,,noun
azzhole,,noun
b00bz,,noun
b0llock,,noun
b0llocks,,noun
b17ch,,noun
b1ch,,noun
b1otch,,noun
b1otchs,,noun
b1tch,,noun
b1tch1ng,,noun
b1tch35,,noun
b1tch3s,,noun
b1tchees,,noun
b1tches,,noun
b1tchez,,noun
b1tchin,,noun
b1tching,,noun
b1tchs,,noun
b1tchy,,noun
babybatter,,noun
ballbag,,noun
bangbros,,noun
bassturd,,noun
bastard,prick,noun
bastardish,,noun
bastards,prick,noun
basterd,,noun
bastid,,noun
bastinado,,noun
basturd,,noun
bater,,noun
bates,bate,verb
batshit,,noun
batshite,,noun
bbc,,noun
beaner,beanball,noun
beaners,beanball,noun
beanqueen,,noun
beatmymeat,,noun
beatoff,,noun
beatthemeat,,noun
beatyourmeat,,noun
beeotch,,noun
bellend,,noun
bender,,noun
bewbs,,noun
beyoch,,noun
beyotch,,noun
biatch,,noun
bich,,noun
biches,,noun
biotch,,noun
biotches,,noun
biotchez,,noun
bishes,,noun
bitch,,noun
bitch3s,,noun
bitchass,,noun
bitchasses,,noun
bitched,gripe,verb
bitcher,,noun
bitchers,,noun
bitches,,noun
bitchez,,noun
bitchfuck,,noun
bitchhole,,noun
bitchin,,noun
bitching,gripe,verb
bitchlike,,noun
bitchness,,noun
bitchs,,noun
bitchslap,,noun
bitchtits,,noun
bitchy,catty,noun
bitchyass,,noun
bizzach,,noun
bj,,noun
blacky,,noun
blowaload,,noun
blowjob,,noun
blumpkinboy,,noun
boll0ck,,noun
bollock,testis,noun
bollockchops,,noun
bollocks,testis,noun
bollocktician,,noun
bollox,,noun
bondage,,noun
boner,blunder,noun
bonkjuice,,noun
boobs,dumbbell,noun
booty,loot,noun
breasticles,,noun
breasts,breast,noun
btch,,noun
btotheinch,,noun
bugger,sodomite,noun
buggeroff,,noun
bullshi,,noun
bullshit,bull,noun
bullshite,,noun
bumbandits,,noun
bumdriller,,noun
bumhole,,noun
bunghole,arse,noun
buttermilk,,noun
buttfuck,,noun
buttfucker,,noun
buttfuckers,,noun
buttfuckingbandit,,noun
butthole,,noun
buttholeboy,,noun
buttmunchers,,noun
buttpirate,,noun
bwc,,noun
c00n,,noun
c00nies,,noun
c0ck,,noun
c0ckhead,,noun
c0cks,,noun
c0cksuccer,,noun
c0cksucked,,noun
c0cksucker,,noun
c0cksuckers,,noun
c0x,,noun
c0xux0r,,noun
caaak,,noun
caca,,noun
cack,,noun
cagone,,noun
cajones,,noun
cameljockey,,noun
cameltoe,,noun
carpetmuncher,,noun
carpetmunchers,,noun
carpetmunching,,noun
cawk,,noun
cawkmuncher,,noun
cawks,,noun
cawksucker,,noun
