badword	badwordtype	replacement_word	replacement_wordtype
0ralseks	noun	mouthact	euphemism
0ralsex	noun	mouthact	euphemism
0rgasms	noun	climax	literal
0rgsm	noun	climax	literal
3jakulating	verb	releasing	euphemism
4r5e	noun	behind	euphemism
4r5ed	verb	poked	euphemism
4r5es	noun	behinds	euphemism
4skin	noun	membrane	literal
55	noun	digits	euphemism
5h17	noun	waste	euphemism
5h1t	noun	waste	euphemism
5kank	noun	unclean	euphemism
69	noun	position	euphemism
abbie	noun	name	euphemism
abeed	verb	sweat	euphemism
aboe	noun	native	euphemism
anal	noun	pedantic	literal
analhole	noun	opening	euphemism
analhore	noun	stickler	euphemism
analingus	noun	contact	euphemism
analpirate	verb	plunderer	euphemism
analplug	noun	stopper	literal
analplugs	noun	stoppers	literal
anilingus	noun	contact	euphemism
animalfucker	verb	beastkeeper	euphemism
anus	noun	opening	literal
anusplug	noun	stopper	literal
apeshit	noun	berserk	literal
apeshite	noun	berserk	literal
ar5e	noun	behind	euphemism
ar5ehole	noun	opening	euphemism
arse	noun	behind	literal
arsebandit	noun	rascal	euphemism
arsebandits	noun	rascals	euphemism
arsefuck	noun	violate	euphemism
arsefucker	verb	violator	euphemism
arsefuckers	noun	violators	euphemism
arsegobbler	verb	glutton	euphemism
arsehole	noun	jerk	euphemism
arseshagger	verb	botherer	euphemism
arseshit	noun	waste	euphemism
arsewipe	noun	tissue	euphemism
ashole	noun	jerk	euphemism
ass	noun	behind	literal
assbandit	noun	rascal	euphemism
asseatingboiolas	noun	glutton	euphemism
asseatingnobjokeys	noun	glutton	euphemism
asses	noun	behinds	literal
assface	noun	grimace	euphemism
assfck	noun	violate	euphemism
assfcker	verb	violator	euphemism
assfecker	verb	violator	euphemism
assfk	noun	violate	euphemism
assfkcer	verb	violator	euphemism
assfker	verb	violator	euphemism
assfkr	noun	violator	euphemism
assfook	noun	violate	euphemism
assfuccer	verb	violator	euphemism
assfuck	noun	violate	euphemism
assfuck3r	noun	violator	euphemism
assfucker	verb	violator	euphemism
assfuckers	noun	violators	euphemism
assfuckerz	noun	violators	euphemism
assfuckingboiolas	noun	violators	euphemism
assfuckingnobjokeys	noun	violators	euphemism
assfukah	noun	violator	euphemism
assfukka	noun	violator	euphemism
assfukker	verb	violator	euphemism
assfukkerz	noun	violators	euphemism
assfvck3r	noun	violator	euphemism
assfvcker	verb	violator	euphemism
asshat	noun	dunce	literal
asshol3	noun	jerk	euphemism
asshole	noun	jerk	euphemism
assholefucker	verb	molester	euphemism
assholes	noun	jerks	euphemism
asskisser	verb	flatterer	literal
asslicking	verb	flattering	literal
assmunch	noun	irritant	euphemism
assmuncher	verb	irritator	euphemism
asswhole	noun	jerk	euphemism
asswipe	noun	tissue	euphemism
axewound	noun	gash	literal
azz	noun	behind	literal
azzhole	noun	jerk	euphemism
b00bz	noun	chest	euphemism
b0llock	noun	testicle	literal
b0llocks	noun	nonsense	euphemism
b17ch	noun	complainer	euphemism
b1ch	noun	complainer	euphemism
b1otch	noun	complainer	euphemism
b1otchs	noun	complainers	euphemism
b1tch	noun	complainer	euphemism
b1tch1ng	noun	complaining	euphemism
b1tch35	noun	complainers	euphemism
b1tch3s	noun	complainers	euphemism
b1tchees	noun	complainers	euphemism
b1tches	noun	complainers	euphemism
b1tchez	noun	complainers	euphemism
b1tchin	noun	complaining	euphemism
b1tching	verb	complaining	euphemism
b1tchs	noun	complainers	euphemism
b1tchy	noun	cranky	literal
babybatter	verb	fluid	euphemism
ballbag	noun	scrotum	literal
bangbros	noun	siblings	euphemism
bassturd	noun	scoundrel	literal
bastard	noun	scoundrel	literal
bastardish	noun	scoundrely	literal
bastards	noun	scoundrels	literal
basterd	noun	scoundrel	literal
bastid	noun	scoundrel	literal
bastinado	noun	punishment	literal
basturd	noun	scoundrel	literal
bater	verb	stimulator	euphemism
bates	noun	stimulates	euphemism
batshit	noun	crazy	literal
batshite	noun	crazy	literal
bbc	noun	channel	euphemism
beaner	verb	mexican	euphemism
beaners	noun	mexicans	euphemism
beanqueen	noun	royalty	euphemism
beatmymeat	noun	stimulate	euphemism
beatoff	noun	stimulate	euphemism
beatthemeat	noun	stimulate	euphemism
beatyourmeat	noun	stimulate	euphemism
beeotch	noun	complainer	euphemism
bellend	noun	dimwit	euphemism
bender	verb	spree	literal
bewbs	noun	chest	euphemism
beyoch	noun	complainer	euphemism
beyotch	noun	complainer	euphemism
biatch	noun	complainer	euphemism
bich	noun	complainer	euphemism
biches	noun	complainers	euphemism
biotch	noun	complainer	euphemism
biotches	noun	complainers	euphemism
